Date,FIPS,Week,Dist_Total,Dist_Janssen,Dist_Moderna,Dist_Pfizer,Given_Total,Given_Janssen,Given_Moderna,Given_Pfizer
2021-10-24,13,43,15356735,658300,6320560,8377875,11223611,281161,4417054,6515099
2021-10-24,10,43,1632535,68700,642580,921255,1279997,51730,480172,746580
2021-10-24,1,43,7061780,317500,3139240,3605040,4766186,141358,2060040,2564637
2021-10-24,16,43,2383960,124000,935880,1324080,1677487,68495,661410,945248
2021-10-24,4,43,10503020,479800,4188820,5834400,8638806,298223,3407393,4917440
2021-10-24,6,43,61499605,2929000,23231700,35338905,53203847,1912485,19765822,31511056
2021-10-24,28,43,4011785,182600,1674480,2154705,2930326,74689,1182765,1670932
2021-10-24,44,43,1794565,78700,704760,1011105,1533965,54955,564259,913806
2021-10-24,48,43,43815445,2127500,16847120,24840825,33902010,1267213,12636513,19995881
2021-10-24,11,43,1289905,58300,493200,738405,1050189,31485,382929,635326
2021-10-24,23,43,2302770,125200,949340,1228230,1918448,120434,750711,1045880
2021-10-24,30,43,1435885,84900,601240,749745,1158737,48801,478209,630657
2021-10-23,40,42,5268420,262700,2288560,2717160,4385686,124234,1759887,2500700
2021-10-23,31,42,2742330,124300,1019480,1598550,2287849,80352,825578,1376997
2021-10-23,42,42,20445385,1186900,8229480,11029005,17198354,670715,6614515,9912052
2021-10-23,24,42,10594710,479400,3951660,6163650,8365492,303124,3017616,5032646
2021-10-23,28,42,4012065,182600,1674760,2154705,2930172,74683,1182727,1670827
2021-10-23,25,42,11641560,503500,4522040,6616020,10223552,342274,3836686,6044195
2021-10-23,50,42,1129090,61900,466980,600210,951700,44700,363674,542495
2021-10-23,37,42,15391890,728900,6000880,8662110,12069570,426651,4374882,7267290
2021-10-23,47,42,9151930,414100,3545640,5192190,7292468,213746,2722932,4322997
2021-10-23,5,42,4326450,202800,1882560,2241090,3174437,101064,1332506,1737841
2021-10-23,34,42,14738945,700100,5635680,8403165,12058760,451047,4528981,7078390
2021-10-23,49,42,4278930,194300,1566700,2517930,3641187,150341,1317434,2173160
2021-10-23,45,42,7399605,360600,3129420,3909585,5586113,185260,2112216,3287129
2021-10-23,11,42,1289905,58300,493200,738405,1048219,31458,382633,633679
2021-10-23,2,42,1131045,72400,444680,613965,852106,35911,324089,491524
